Stu,Grad,EX1,EX1Date,EX1Loc,EX2,EX2Date,EX2Loc,Kap1.58,Kap2.58,CHEM111,BIO152,CHEM124,BIO213,BIO214,chem.111,bio.152,chem.124,bio.213,bio.214,APnonSMC,non.smc.a,non.smc.p,sci.gpa.dec10,BIO216Micro,X224Essen,bio.216,x.224,sci.gpa.may11,X321,X321.last,X323,X323.last,X326,X326.last,X330,X330.last,X334,X407,X410,X414,X415,X485,x.321,x.321.last,x.323,x.323.last,x.326,x.326.last,x.330,x.330.last,x.334,x.407,x.410,x.414,x.415,x.485,upper.gpa,cum.gpa
1,Spr13,1,7/3/13,IL,,,,61.3,,C+,B+,C+,C+,B,2.333,3.333,2.333,2.333,3,,,,2.66,A-,A-,3.667,3.667,2.99,B,B,C+,C+,B-,B-,B-,B-,A-,B,B-,A,A-,B,3,3,2.333,2.333,2.667,2.667,2.667,2.667,3.667,3,2.667,4,3.667,3,3.04,3.2069
2,Spr13,1,7/3/13,IN,,,,54,64.4,B,A-,A-,A,A-,3,3.667,3.667,4,3.667,,,,3.45,A,A,4,4,,B-,B-,B,B,B-,B-,B-,B-,B+,B,B,A,A,B+,2.667,2.667,3,3,2.667,2.667,2.667,2.667,3.333,3,3,4,4,3.333,3.14,3.6262
3,Spr13,1,6/21/13,,,,,60.7,,A-,A,A,,,3.667,4,4,,,A / A,4,4,3.93,A,A,4,4,,A-,A-,B+,B+,B+,B+,B,B,A-,A-,A-,A,A-,A,3.667,3.667,3.333,3.333,3.333,3.333,3,3,3.667,3.667,3.667,4,3.667,4,3.57,3.7533
4,Spr13,1,6/10/13,IN,,,,60,,C,B,C+,C+,B-,2,3,2.333,2.333,2.667,,,,2.46,B+,A,3.333,4,2.88,C+,C+,C,C,B,B,B-,B-,A-,B-,B-,B,A-,C+,2.333,2.333,2,2,3,3,2.667,2.667,3.667,2.667,2.667,3,3.667,2.333,2.79,2.9655
5,Spr13,,,,,,,56,67.2,B-,A-,A-,B+,,2.667,3.667,3.667,3.333,,,,,3.26,B+,A-,3.333,3.667,3.35,B-,B-,B-,B-,C+,C+,B-,B-,B,B-,B+,B+,A,B,2.667,2.667,2.667,2.667,2.333,2.333,2.667,2.667,3,2.667,3.333,3.333,4,3,2.96,3.3505
6,Spr13,1,3-Jul,CA,,,,60.7,,B,B,B,A-,A,3,3,3,3.667,4,,,,3.33,A,A-,4,3.667,3.49,B,B,B-,B-,C+,C+,C,C,B+,B+,B+,A,A,B+,3,3,2.667,2.667,2.333,2.333,2,2,3.333,3.333,3.333,4,4,3.333,3.11,3.318
7,Spr13,1,7/10/13,MI,,,,57.3,61.7,C+,B,B-,A-,B,2.333,3,2.667,3.667,3,,,,2.93,B+,A-,3.333,3.667,3.13,B-,B-,C+,C+,B-,B-,C+,C+,B,B-,B,A-,B+,B+,2.667,2.667,2.333,2.333,2.667,2.667,2.333,2.333,3,2.667,3,3.667,3.333,3.333,2.86,3.1204
8,Spr13,0,6/17/13,IN,1,8/7/13,,53.3,58.3,B-,B-,B-,,,2.667,2.667,2.667,,,B / A,3,4,3,B+,B+,3.333,3.333,3.11,C+,C+,C,C,C+,C+,C,C,A-,B-,B-,A,A-,C+,2.333,2.333,2,2,2.333,2.333,2,2,3.667,2.667,2.667,4,3.667,2.333,2.75,2.9502
9,Spr13,1,7/1/13,PA,,,,58.7,,C-,B-,B-,A,B,1.667,2.667,2.667,4,3,,,,2.8,A,B+,4,3.333,3.06,A-,A-,B+,B+,B+,B+,B-,B-,A-,A-,B+,A,A-,A,3.667,3.667,3.333,3.333,3.333,3.333,2.667,2.667,3.667,3.667,3.333,4,3.667,4,3.49,3.3336
10,Spr13,1,7/9/13,WI,,,,51.3,63.3,B,B+,B+,B,B,3,3.333,3.333,3,3,,,,3.13,B+,A-,3.333,3.667,3.26,C+,C+,C+,C+,C,C,C,C,B,B-,B,A-,A,B,2.333,2.333,2.333,2.333,2,2,2,2,3,2.667,3,3.667,4,3,2.77,3.0624
