
*************************************************
Step	Event	Time	Q	A	C0	C1	C2	C3
0	0	0.0	0	0	0	inf	inf	60
1	1	1.04	0	0	inf	1.04	inf	60
2	1	3.94	0	1	inf	3.94	6.81	60
3	1	4.36	1	1	inf	4.36	6.81	60
4	2	6.81	2	1	inf	8.74	6.81	60
5	2	7.92	1	1	inf	8.74	7.92	60
6	1	8.74	0	1	inf	8.74	17.66	60
7	2	17.66	1	1	inf	24.62	17.66	60
8	2	19.61	0	1	inf	24.62	19.61	60
9	1	24.62	0	0	inf	24.62	inf	60
10	2	30.13	0	1	inf	30.72	30.13	60
11	1	30.72	0	0	inf	30.72	inf	60
12	2	30.93	0	1	inf	31.88	30.93	60
13	1	31.88	0	0	inf	31.88	inf	60
14	1	34.58	0	1	inf	34.58	35.16	60
15	2	35.16	1	1	inf	36.87	35.16	60
16	2	35.34	0	1	inf	36.87	35.34	60
17	1	36.87	0	0	inf	36.87	inf	60
18	1	43.68	0	1	inf	43.68	51.65	60
19	1	48.6	1	1	inf	48.6	51.65	60
20	1	48.95	2	1	inf	48.95	51.65	60
21	2	51.65	3	1	inf	51.72	51.65	60
22	1	51.72	2	1	inf	51.72	60.83	60
23	1	55.6	3	1	inf	55.6	60.83	60
24	3	60.0	4	1	inf	81.52	60.83	60
25	2	60.83	4	1	inf	inf	60.83	inf
26	2	73.44	3	1	inf	inf	73.44	inf
27	2	86.91	2	1	inf	inf	86.91	inf
28	2	95.96	1	1	inf	inf	95.96	inf
29	2	98.63	0	1	inf	inf	98.63	inf
30	2	98.63	0	0	inf	inf	inf	inf

*************************************************
Step	Event	Time	Q	A	C0	C1	C2	C3
0	0	0.0	0	0	0	inf	inf	60
1	1	8.35	0	0	inf	8.35	inf	60
2	2	9.98	0	1	inf	12.16	9.98	60
3	1	12.16	0	0	inf	12.16	inf	60
4	2	12.36	0	1	inf	13.33	12.36	60
5	1	13.33	0	0	inf	13.33	inf	60
6	2	17.97	0	1	inf	24.65	17.97	60
7	1	24.65	0	0	inf	24.65	inf	60
8	1	25.87	0	1	inf	25.87	30.59	60
9	1	26.96	1	1	inf	26.96	30.59	60
10	2	30.59	2	1	inf	39.47	30.59	60
11	2	30.94	1	1	inf	39.47	30.94	60
12	2	31.84	0	1	inf	39.47	31.84	60
13	1	39.47	0	0	inf	39.47	inf	60
14	1	46.12	0	1	inf	46.12	47.64	60
15	2	47.64	1	1	inf	49.68	47.64	60
16	1	49.68	0	1	inf	49.68	61.3	60
17	1	50.35	1	1	inf	50.35	61.3	60
18	1	57.57	2	1	inf	57.57	61.3	60
19	1	58.19	3	1	inf	58.19	61.3	60
20	1	58.61	4	1	inf	58.61	61.3	60
21	3	60.0	5	1	inf	79.29	61.3	60
22	2	61.3	5	1	inf	inf	61.3	inf
23	2	64.57	4	1	inf	inf	64.57	inf
24	2	70.51	3	1	inf	inf	70.51	inf
25	2	70.65	2	1	inf	inf	70.65	inf
26	2	71.46	1	1	inf	inf	71.46	inf
27	2	82.94	0	1	inf	inf	82.94	inf
28	2	82.94	0	0	inf	inf	inf	inf

*************************************************
Step	Event	Time	Q	A	C0	C1	C2	C3
0	0	0.0	0	0	0	inf	inf	60
1	1	3.79	0	0	inf	3.79	inf	60
2	2	4.27	0	1	inf	10.78	4.27	60
3	1	10.78	0	0	inf	10.78	inf	60
