Step (n),Event (i),Time (t),Queue Length(Q),In Use (U),Store Open (O),C0,C1,C2,C3
1,0,0,0,0,1,inf,4.93784543552,inf,600
2,1,4.93784543552,0,1,1,inf,13.8693498315,8.92404593508,600
3,2,8.92404593508,0,0,1,inf,13.8693498315,inf,600
4,1,13.8693498315,0,1,1,inf,17.1401133325,15.8533039842,600
5,2,15.8533039842,0,0,1,inf,17.1401133325,inf,600
6,1,17.1401133325,0,1,1,inf,22.0005836092,17.8202980228,600
7,2,17.8202980228,0,0,1,inf,22.0005836092,inf,600
8,1,22.0005836092,0,1,1,inf,23.4097785224,29.7687737575,600
9,1,23.4097785224,1,1,1,inf,36.9623700071,29.7687737575,600
10,2,29.7687737575,0,1,1,inf,36.9623700071,34.60325977,600
11,2,34.60325977,0,0,1,inf,36.9623700071,inf,600
12,1,36.9623700071,0,1,1,inf,40.8609304545,38.2311768601,600
13,2,38.2311768601,0,0,1,inf,40.8609304545,inf,600
14,1,40.8609304545,0,1,1,inf,43.1005263693,43.1070905692,600
15,1,43.1005263693,1,1,1,inf,48.4930545692,43.1070905692,600
16,2,43.1070905692,0,1,1,inf,48.4930545692,48.974011536,600
17,1,48.4930545692,1,1,1,inf,62.3769977552,48.974011536,600
18,2,48.974011536,0,1,1,inf,62.3769977552,54.1572611926,600
19,2,54.1572611926,0,0,1,inf,62.3769977552,inf,600
20,1,62.3769977552,0,1,1,inf,66.7889737732,67.0824611011,600
21,1,66.7889737732,1,1,1,inf,70.0665402989,67.0824611011,600
22,2,67.0824611011,0,1,1,inf,70.0665402989,67.8439916507,600
23,2,67.8439916507,0,0,1,inf,70.0665402989,inf,600
24,1,70.0665402989,0,1,1,inf,73.7322502339,73.8179830991,600
25,1,73.7322502339,1,1,1,inf,77.6111861953,73.8179830991,600
26,2,73.8179830991,0,1,1,inf,77.6111861953,73.9349792722,600
27,2,73.9349792722,0,0,1,inf,77.6111861953,inf,600
28,1,77.6111861953,0,1,1,inf,84.8072576871,77.8975989779,600
29,2,77.8975989779,0,0,1,inf,84.8072576871,inf,600
30,1,84.8072576871,0,1,1,inf,87.7060906854,87.9882513919,600
31,1,87.7060906854,1,1,1,inf,98.9573379474,87.9882513919,600
