Step (n),Time (t),Event (i),Inventory (I),Order(O),Lost Sales (L),Sales (R)
0,0,0,700,0,0,0
1,1,1,700,0,0,0
2,1.5,2,436,0,0,264
3,2,1,436,564,0,264
4,2.5,3,160,564,0,540
5,3,1,724,0,0,540
6,3.5,2,513,0,0,751
7,4,1,513,487,0,751
8,4.5,3,269,487,0,995
9,5,1,756,0,0,995
10,5.5,2,589,0,0,1162
11,6,1,589,411,0,1162
12,6.5,3,343,411,0,1408
13,7,1,754,0,0,1408
14,7.5,2,496,0,0,1666
15,8,1,496,504,0,1666
16,8.5,3,313,504,0,1849
17,9,1,817,0,0,1849
18,9.5,2,594,0,0,2072
19,10,1,594,406,0,2072
20,10.5,3,302,406,0,2364
21,11,1,708,0,0,2364
22,11.5,2,444,0,0,2628
23,12,1,444,556,0,2628
24,12.5,3,161,556,0,2911
25,13,1,717,0,0,2911
26,13.5,2,531,0,0,3097
27,14,1,531,469,0,3097
28,14.5,3,259,469,0,3369
29,15,1,728,0,0,3369
30,15.5,2,508,0,0,3589
31,16,1,508,492,0,3589
32,16.5,3,325,492,0,3772
33,17,1,817,0,0,3772
34,17.5,2,591,0,0,3998
35,18,1,591,409,0,3998
36,18.5,3,380,409,0,4209
37,19,1,789,0,0,4209
38,19.5,2,501,0,0,4497
39,20,1,501,499,0,4497
40,20.5,3,254,499,0,4744
41,21,1,753,0,0,4744
42,21.5,2,437,0,0,5060
43,22,1,437,563,0,5060
44,22.5,3,162,563,0,5335
45,23,1,725,0,0,5335
46,23.5,2,413,0,0,5647
47,24,1,413,587,0,5647
48,24.5,3,212,587,0,5848
49,25,1,799,0,0,5848
50,25.5,2,507,0,0,6140
51,26,1,507,493,0,6140
52,26.5,3,248,493,0,6399
53,27,1,741,0,0,6399
54,27.5,2,532,0,0,6608
55,28,1,532,468,0,6608
56,28.5,3,294,468,0,6846
57,29,1,762,0,0,6846
58,29.5,2,564,0,0,7044
59,30,1,564,436,0,7044
60,30.5,3,269,436,0,7339
61,31,1,705,0,0,7339
62,31.5,2,370,0,0,7674
63,32,1,370,630,0,7674
64,32.5,3,186,630,0,7858
65,33,1,816,0,0,7858
66,33.5,2,576,0,0,8098
67,34,1,576,424,0,8098
68,34.5,3,277,424,0,8397
69,35,1,701,0,0,8397
70,35.5,2,364,0,0,8734
71,36,1,364,636,0,8734
72,36.5,3,106,636,0,8992
73,37,1,742,0,0,8992
74,37.5,2,547,0,0,9187
75,38,1,547,453,0,9187
76,38.5,3,344,453,0,9390
77,39,1,797,0,0,9390
78,39.5,2,591,0,0,9596
79,40,1,591,409,0,9596
80,40.5,3,333,409,0,9854
81,41,1,742,0,0,9854
82,41.5,2,486,0,0,10110
83,42,1,486,514,0,10110
84,42.5,3,246,514,0,10350
85,43,1,760,0,0,10350
86,43.5,2,474,0,0,10636
87,44,1,474,526,0,10636
88,44.5,3,250,526,0,10860
89,45,1,776,0,0,10860
90,45.5,2,543,0,0,11093
91,46,1,543,457,0,11093
92,46.5,3,424,457,0,11212
93,47,1,881,0,0,11212
94,47.5,2,597,0,0,11496
95,48,1,597,403,0,11496
96,48.5,3,354,403,0,11739
97,49,1,757,0,0,11739
98,49.5,2,504,0,0,11992
99,50,1,504,496,0,11992
